True;report_time;location;incident_type;summary;raw_string
1505094;2015-12-05 16:11:00;1204 ADAMS BL;IDENTITY THEFT;to;[new_line][new_line]12/5/15[new_line][new_line]-[new_line][new_line] 4:11 pm[new_line][new_line]Location:[new_line][new_line]1204 ADAMS BL[new_line][new_line]Report #:[new_line][new_line]1505094[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]11/21/15 10:20 am[new_line]IDENTITY THEFT[new_line]A suspect used unknown means to make several unauthorized purchases on a student's debit card account.[new_line][new_line]Disposition: Open[new_line][new_line]Identity Theft[new_line][new_line]10:20 am[new_line][new_line]11/21/15[new_line][new_line]-[new_line][new_line]
1505095;2015-12-05 20:08:00;23RD ST & FIGUEROA ST;TRAFFIC;to  12/5/15;[new_line][new_line]12/5/15[new_line][new_line]-[new_line][new_line] 8:08 pm[new_line][new_line]Location:[new_line][new_line]23RD ST & FIGUEROA ST[new_line][new_line]Report #:[new_line][new_line]1505095[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]12/5/15[new_line][new_line] 7:15 pm[new_line][new_line]-[new_line]12/5/15[new_line]TRAFFIC[new_line]A student was transported to a local hospital for medical treatment after complaining of pain from a knee injury he sustained [new_line]in an earlier traffic collision.[new_line][new_line]Traffic Collision-Bicycle[new_line][new_line]Disposition: CLOSED[new_line][new_line] 8:08 pm[new_line][new_line]-[new_line][new_line]cc: Student Affairs[new_line][new_line]University of Southern California[new_line][new_line]Department of Public Safety[new_line][new_line]Daily Incident Log[new_line][new_line]From 12/4/2015 To 12/7/2015[new_line][new_line]
1505096;2015-12-05 21:50:00;RALPHS SUPERMARKET;THEFT-GRAND;to  12/5/15;[new_line][new_line]12/5/15[new_line][new_line]-[new_line][new_line] 9:50 pm[new_line][new_line]Location:[new_line][new_line]RALPHS SUPERMARKET[new_line][new_line]Report #:[new_line][new_line]1505096[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]12/5/15[new_line][new_line] 9:30 pm[new_line][new_line]12/5/15[new_line]THEFT-GRAND[new_line]A suspect was arrested for attempting to remove a student's laptop computer and wallet after she left them in a shopping cart [new_line]at the location.[new_line][new_line]Disposition: Open[new_line][new_line]Theft Grand-Plain[new_line][new_line] 9:50 pm[new_line][new_line]-[new_line][new_line]
1505097;2015-12-05 21:33:00;THE LORENZO APARTMENTS;BATTERY;to  12/5/15;[new_line][new_line]12/5/15[new_line][new_line]-[new_line][new_line] 9:33 pm[new_line][new_line]Location:[new_line][new_line]THE LORENZO APARTMENTS[new_line][new_line]Report #:[new_line][new_line]1505097[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]12/5/15[new_line][new_line] 9:33 pm[new_line][new_line]12/5/15[new_line]-[new_line]BATTERY[new_line]A student reported that his roommate pushed him into a wall during an argument.[new_line][new_line]11:04 pm[new_line][new_line]Battery[new_line][new_line]-[new_line][new_line]Disposition: CLOSED[new_line][new_line]cc: Student Affairs[new_line][new_line]
1505098;2015-12-06 07:32:00;CECELE & MICHAEL BIRNKRANT RESIDENCE  HALL;OBSCENE ACTIVITY;to  12/6/15;[new_line][new_line]12/6/15[new_line][new_line]-[new_line][new_line] 7:32 am[new_line][new_line]Location:[new_line][new_line]CECELE & MICHAEL BIRNKRANT RESIDENCE [new_line]HALL[new_line][new_line]Report #:[new_line][new_line]1505098[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]12/6/15[new_line][new_line] 2:45 am[new_line][new_line]12/6/15[new_line]OBSCENE ACTIVITY[new_line]A student reported receiving multiple annoying phone calls that caused her to fear for her safety.[new_line][new_line]Obscene, Annoying, Threatening Phone Calls[new_line][new_line] 7:33 am[new_line][new_line]Disposition: Open[new_line][new_line]-[new_line][new_line]cc: Student Affairs[new_line][new_line]
1505099;2015-12-06 08:38:00;23RD ST & TOBERMAN ST;TRAFFIC;to  12/6/15;[new_line][new_line]12/6/15[new_line][new_line]-[new_line][new_line] 8:38 am[new_line][new_line]Location:[new_line][new_line]23RD ST & TOBERMAN ST[new_line][new_line]Report #:[new_line][new_line]1505099[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]12/6/15[new_line][new_line] 8:11 am[new_line][new_line]12/6/15[new_line]-[new_line]TRAFFIC[new_line]A student driving his personal vehicle collided with a non-USC male driving his personal vehicle, causing unspecified [new_line]damage.[new_line][new_line]Traffic Collision Without Injuries[new_line][new_line]Disposition: CLOSED[new_line][new_line] 8:11 am[new_line][new_line]-[new_line][new_line]
1505101;2015-12-06 08:03:00;30TH ST & ORCHARD ST;SERVICE;to  12/6/15;[new_line][new_line]12/6/15[new_line][new_line]-[new_line][new_line] 8:03 am[new_line][new_line]Location:[new_line][new_line]30TH ST & ORCHARD ST[new_line][new_line]Report #:[new_line][new_line]1505101[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]12/6/15[new_line][new_line] 8:03 am[new_line][new_line]12/6/15[new_line]-[new_line]SERVICE[new_line]A suspect was detained for investigation, questioned and released after he was observed pulling on vehicle door handles [new_line]near the location.[new_line][new_line]Suspicious Circumstances[new_line][new_line]Disposition: Open[new_line][new_line]11:17 am[new_line][new_line]-[new_line][new_line]
1505102;2015-12-06 12:15:00;OUTSIDE USC AREA;IDENTITY THEFT;to;[new_line][new_line]12/6/15[new_line][new_line]-[new_line][new_line]12:15 pm[new_line][new_line]Location:[new_line][new_line]OUTSIDE USC AREA[new_line][new_line]Report #:[new_line][new_line]1505102[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]11/3/15[new_line] 3:00 pm[new_line]IDENTITY THEFT[new_line]A suspect used unknown means to make an unauthorized purchase on a student's credit card account.[new_line][new_line]Disposition: Open[new_line][new_line]Identity Theft[new_line][new_line] 3:00 pm[new_line][new_line]11/3/15[new_line][new_line]-[new_line][new_line]
1505103;2015-12-06 18:29:00;INTERNATIONALLY THEMED RESIDENTIAL  COLLEGE;FIRE;to  12/6/15;[new_line][new_line]12/6/15[new_line][new_line]-[new_line][new_line] 6:29 pm[new_line][new_line]Location:[new_line][new_line]INTERNATIONALLY THEMED RESIDENTIAL [new_line]COLLEGE[new_line][new_line]Report #:[new_line][new_line]1505103[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]12/6/15[new_line][new_line] 6:35 pm[new_line][new_line]12/6/15[new_line]FIRE[new_line]A fire alarm was activated due to unknown cause.[new_line][new_line] 8:30 pm[new_line][new_line]-[new_line][new_line]Alarm Malfunction[new_line][new_line]cc: Student Affairs, Safety, Housing[new_line][new_line]Disposition: CLOSED[new_line][new_line]University of Southern California[new_line][new_line]Department of Public Safety[new_line][new_line]Daily Incident Log[new_line][new_line]From 12/4/2015 To 12/7/2015[new_line][new_line]
1505104;2015-12-07 08:18:00;KECK HOSPITAL OF USC;SERVICE;to  12/7/15;[new_line][new_line]12/7/15[new_line][new_line]-[new_line][new_line] 8:18 am[new_line][new_line]Location:[new_line][new_line]KECK HOSPITAL OF USC[new_line][new_line]Report #:[new_line][new_line]1505104[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]12/7/15[new_line][new_line] 8:18 am[new_line][new_line]12/7/15[new_line]-[new_line]SERVICE[new_line]A non-USC male was examined and released at the scene after experiencing dizziness.[new_line][new_line]Illness Response[new_line][new_line] 8:33 am[new_line][new_line]-[new_line][new_line]Disposition: CLOSED[new_line][new_line]
1505106;2015-12-07 09:30:00;29TH ST & WALTON AV;PROPERTY;to  1/1/00;[new_line][new_line]12/7/15[new_line][new_line]-[new_line][new_line] 9:30 am[new_line][new_line]Location:[new_line][new_line]29TH ST & WALTON AV[new_line][new_line]Report #:[new_line][new_line]1505106[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]1/1/00[new_line][new_line]12:00 am[new_line][new_line]1/1/00[new_line]PROPERTY[new_line]A wallet was found at the location and turned in to DPS Lost & Found.[new_line][new_line]12:00 am[new_line][new_line]Recovered Property Without a Crime[new_line][new_line]-[new_line][new_line]Disposition: CLOSED[new_line][new_line]
1505107;2015-12-07 10:10:00;MCKIBBEN ADDITION;PROPERTY;to  12/7/15;[new_line][new_line]12/7/15[new_line][new_line]-[new_line][new_line]10:10 am[new_line][new_line]Location:[new_line][new_line]MCKIBBEN ADDITION[new_line][new_line]Report #:[new_line][new_line]1505107[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]12/7/15[new_line][new_line] 2:00 pm[new_line][new_line]12/4/15[new_line]PROPERTY[new_line]A staff member reported a tool missing.[new_line][new_line]-[new_line][new_line] 9:00 am[new_line][new_line]Lost/Missing Property[new_line][new_line]Disposition: CLOSED[new_line][new_line]
1505108;2015-12-07 11:49:00;TROY HALL;SERVICE;to  12/7/15;[new_line][new_line]12/7/15[new_line][new_line]-[new_line][new_line]11:49 am[new_line][new_line]Location:[new_line][new_line]TROY HALL[new_line][new_line]Report #:[new_line][new_line]1505108[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]12/7/15[new_line][new_line]11:49 am[new_line][new_line]-[new_line]12/7/15[new_line]SERVICE[new_line]Officers detained a suspect near the location after he was observed hitting vehicles and throwing trash cans into the street [new_line]and he was subsequently transported to a local hospital for psychiatric evaluation.[new_line][new_line]Commitment To Mental Health For 72 Hrs[new_line][new_line]Disposition: CLOSED[new_line][new_line] 1:06 pm[new_line][new_line]-[new_line][new_line]
1505109;2015-12-07 12:47:00;KENNETH NORRIS JR. CANCER HOSPITAL  RESEARCH INSTIT;;;[new_line][new_line]12/7/15[new_line][new_line]-[new_line][new_line]12:47 pm[new_line][new_line]Location:[new_line][new_line]KENNETH NORRIS JR. CANCER HOSPITAL [new_line]RESEARCH INSTIT[new_line][new_line]Report #:[new_line][new_line]1505109[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]
1505110;2015-12-07 14:03:00;SHRINE PARKING STRUCTURE;SERVICE;to;[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]12:40 pm[new_line][new_line]12/7/15[new_line]-[new_line]SERVICE[new_line]A staff member was examined and released at the scene after falling and injuring her wrists and knees.[new_line][new_line]Disposition: CLOSED[new_line][new_line]Injury Response[new_line][new_line] 1:05 pm[new_line][new_line]12/7/15[new_line][new_line]-[new_line][new_line]cc: Safety[new_line]-[new_line][new_line]12/7/15[new_line][new_line] 2:03 pm[new_line][new_line]Location:[new_line][new_line]SHRINE PARKING STRUCTURE[new_line][new_line]Report #:[new_line][new_line]1505110[new_line][new_line]-[new_line][new_line]12/7/15[new_line][new_line]to[new_line]11/29/15 10:00 pm[new_line]THEFT-GRAND AUTO[new_line]A suspect removed a blue, 2013 Honda Fit that was parked at the location.[new_line][new_line]Grand Theft Auto[new_line][new_line] 9:00 am[new_line][new_line]-[new_line][new_line]Disposition: Open[new_line][new_line]
1505111;2015-12-07 15:29:00;PERTUSATI UNIVERSITY BOOKSTORE;SERVICE;to;[new_line][new_line]12/7/15[new_line][new_line]-[new_line][new_line] 3:29 pm[new_line][new_line]Location:[new_line][new_line]PERTUSATI UNIVERSITY BOOKSTORE[new_line][new_line]Report #:[new_line][new_line]1505111[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line] 3:30 pm[new_line][new_line]-[new_line]12/7/15[new_line]SERVICE[new_line]A staff member suffering from possible food poisoning was transported to SHC for medical treatment.[new_line][new_line]Illness Response[new_line][new_line]Disposition: CLOSED[new_line][new_line] 4:00 pm[new_line][new_line]12/7/15[new_line][new_line]-[new_line][new_line]University of Southern California[new_line][new_line]Department of Public Safety[new_line][new_line]Daily Incident Log[new_line][new_line]From 12/7/2015 To 12/8/2015[new_line][new_line]
1505112;2015-12-07 15:35:00;SOTO STREET BUILDING TWO;OBSCENE ACTIVITY;to  12/4/15;[new_line][new_line]12/7/15[new_line][new_line]-[new_line][new_line] 3:35 pm[new_line][new_line]Location:[new_line][new_line]SOTO STREET BUILDING TWO[new_line][new_line]Report #:[new_line][new_line]1505112[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]12/4/15[new_line][new_line] 7:05 pm[new_line][new_line]12/4/15[new_line]OBSCENE ACTIVITY[new_line]Obscene, Annoying, Threatening Phone Calls[new_line]Two staff members reported receiving threatening phone calls from the son of a patient.[new_line][new_line] 7:05 pm[new_line][new_line]-[new_line][new_line]Disposition: CLOSED[new_line][new_line]cc: HR[new_line][new_line]
1505113;2015-12-07 16:21:00;THOMAS & DOROTHY LEAVEY LIBRARY;DISTURBANCE;to  12/7/15;[new_line][new_line]12/7/15[new_line][new_line]-[new_line][new_line] 4:21 pm[new_line][new_line]Location:[new_line][new_line]THOMAS & DOROTHY LEAVEY LIBRARY[new_line][new_line]Report #:[new_line][new_line]1505113[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]12/7/15[new_line][new_line] 4:21 pm[new_line][new_line]12/7/15[new_line]DISTURBANCE[new_line]A non-USC male became irate and caused a disturbance when he was advised that his dog was not allowed inside the [new_line]library.[new_line][new_line]Disturbing The Peace[new_line][new_line]Disposition: Open[new_line][new_line] 4:33 pm[new_line][new_line]-[new_line][new_line]
1505114;2015-12-07 16:29:00;THOMAS & DOROTHY LEAVEY LIBRARY;TRESPASS;to  1/1/00;"[new_line][new_line]12/7/15[new_line][new_line]-[new_line][new_line] 4:29 pm[new_line][new_line]Location:[new_line][new_line]THOMAS & DOROTHY LEAVEY LIBRARY[new_line][new_line]Report #:[new_line][new_line]1505114[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]1/1/00[new_line][new_line]12:00 am[new_line][new_line]1/1/00[new_line]TRESPASS[new_line]A staff member reported that he observed the subject of a ""stay away"" letter loitering outside the location.  The subject left [new_line]the area when he realized that he was being monitored by the staff member.[new_line][new_line]Disposition: Open[new_line][new_line]Trespassing[new_line][new_line]12:00 am[new_line][new_line]-[new_line][new_line]"
1505115;2015-12-07 18:36:00;COLLEGE ACADEMIC SERVICES BUILDING;SERVICE;to;[new_line][new_line]12/7/15[new_line][new_line]-[new_line][new_line] 6:36 pm[new_line][new_line]Location:[new_line][new_line]COLLEGE ACADEMIC SERVICES BUILDING[new_line][new_line]Report #:[new_line][new_line]1505115[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line] 4:36 pm[new_line][new_line]-[new_line]12/2/15[new_line]SERVICE[new_line]A faculty member and several students reported receiving email messages from another student that caused them concern.[new_line][new_line]Suspicious Circumstances[new_line][new_line]Disposition: Open[new_line][new_line] 3:00 pm[new_line][new_line]12/7/15[new_line][new_line]-[new_line][new_line]cc: Student Affairs, Judicial Affairs, HR[new_line][new_line]
1505116;2015-12-07 18:14:00;29TH ST & FIGUEROA ST;BURGLARY-MOTOR VEHICLE;to;[new_line][new_line]12/7/15[new_line][new_line]-[new_line][new_line] 6:14 pm[new_line][new_line]Location:[new_line][new_line]29TH ST & FIGUEROA ST[new_line][new_line]Report #:[new_line][new_line]1505116[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10:00 pm[new_line][new_line]12/4/15[new_line]12/7/15[new_line]BURGLARY-MOTOR VEHICLE[new_line]A suspect removed currency.[new_line][new_line]-[new_line][new_line] 6:10 pm[new_line][new_line]Disposition: Open[new_line][new_line]Burglary-Motor Vehicle[new_line][new_line]
1505117;2015-12-07 19:52:00;MARDETTE APTS.;;;[new_line][new_line]12/7/15[new_line][new_line]-[new_line][new_line] 7:52 pm[new_line][new_line]Location:[new_line][new_line]MARDETTE APTS.[new_line][new_line]Report #:[new_line][new_line]1505117[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]
1505119;2015-12-07 20:51:00;GENERAL WILLIAM LYON UNIVERSITY CENTER;THEFT-PETTY;to  12/7/15;[new_line][new_line]12/7/15[new_line][new_line]-[new_line][new_line] 8:51 pm[new_line][new_line]Location:[new_line][new_line]GENERAL WILLIAM LYON UNIVERSITY CENTER[new_line][new_line]Report #:[new_line][new_line]1505119[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]12/7/15[new_line][new_line] 6:45 pm[new_line][new_line]12/7/15[new_line]THEFT-PETTY[new_line]A suspect removed a wallet and a cellular phone.[new_line][new_line] 8:25 pm[new_line][new_line]-[new_line][new_line]Theft Petty-Plain[new_line][new_line]Disposition: Open[new_line][new_line]
1505120;2015-12-07 17:26:00;CARDINAL GARDENS;SUICIDE;to  12/7/15;[new_line][new_line]12/7/15[new_line][new_line]-[new_line][new_line] 5:26 pm[new_line][new_line]Location:[new_line][new_line]CARDINAL GARDENS[new_line][new_line]Report #:[new_line][new_line]1505120[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]12/7/15[new_line][new_line] 5:10 pm[new_line][new_line]12/7/15[new_line]SUICIDE[new_line]A student was transported to a local hospital for medical treatment after ingesting prescription medication with alcohol in an [new_line]apparent attempt to harm herself.[new_line][new_line]Disposition: CLOSED[new_line][new_line]Attempt Suicide[new_line][new_line] 5:15 pm[new_line][new_line]-[new_line][new_line]cc: Student Affairs[new_line][new_line]
1505121;2015-12-07 17:24:00;PERTUSATI UNIVERSITY BOOKSTORE;THEFT-PETTY;to  12/7/15;[new_line][new_line]12/7/15[new_line][new_line]-[new_line][new_line] 5:24 pm[new_line][new_line]Location:[new_line][new_line]PERTUSATI UNIVERSITY BOOKSTORE[new_line][new_line]Report #:[new_line][new_line]1505121[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]12/7/15[new_line][new_line] 5:20 pm[new_line][new_line]12/7/15[new_line]THEFT-PETTY[new_line]Two juveniles were detained for investigation after they were observed removing water bottles from the location.  The [new_line]property was recovered and the juveniles were released to their guardians.[new_line][new_line]Disposition: CLOSED[new_line][new_line]Theft Petty-Plain[new_line][new_line] 5:22 pm[new_line][new_line]-[new_line][new_line]
1505122;2015-12-07 16:26:00;ANNENBERG HOUSE;DISTURBANCE;to  12/7/15;[new_line][new_line]12/7/15[new_line][new_line]-[new_line][new_line] 4:26 pm[new_line][new_line]Location:[new_line][new_line]ANNENBERG HOUSE[new_line][new_line]Report #:[new_line][new_line]1505122[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]12/7/15[new_line][new_line]11/28/15  3:00 pm[new_line]DISTURBANCE[new_line]Two students reported that they have been having on-going problems with one of their roommates, also a student, and they [new_line]were subsequently relocated to another apartment.[new_line][new_line]Disposition: CLOSED[new_line][new_line]Disturbing The Peace[new_line][new_line]12:30 am[new_line][new_line]-[new_line][new_line]cc: Student Affairs, Judicial Affairs[new_line][new_line]
1505123;2015-12-07 22:37:00;TERRACE APARTMENTS;SERVICE;to  12/7/15;[new_line][new_line]12/7/15[new_line][new_line]-[new_line][new_line]10:37 pm[new_line][new_line]Location:[new_line][new_line]TERRACE APARTMENTS[new_line][new_line]Report #:[new_line][new_line]1505123[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]12/7/15[new_line][new_line]10:30 pm[new_line][new_line]12/7/15[new_line]-[new_line]SERVICE[new_line]A student was transported to a local hospital for medical treatment after fainting.[new_line][new_line]Illness Response[new_line][new_line]10:45 pm[new_line][new_line]-[new_line][new_line]Disposition: CLOSED[new_line][new_line]cc: Student Affairs[new_line][new_line]
1505124;2015-12-08 02:07:00;2343 SCARFF ST;SERVICE;to;[new_line][new_line]12/8/15[new_line][new_line]-[new_line][new_line] 2:07 am[new_line][new_line]Location:[new_line][new_line]2343 SCARFF ST[new_line][new_line]Report #:[new_line][new_line]1505124[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line] 2:07 am[new_line][new_line]12/8/15[new_line]-[new_line]SERVICE[new_line]A student was transported to a local hospital for medical treatment after complaining of chest pains and difficulty breathing.[new_line][new_line]Disposition: CLOSED[new_line][new_line]Illness Response[new_line][new_line] 2:07 am[new_line][new_line]12/8/15[new_line][new_line]-[new_line][new_line]cc: Student Affairs[new_line][new_line]University of Southern California[new_line][new_line]Department of Public Safety[new_line][new_line]Daily Incident Log[new_line][new_line]From 12/7/2015 To 12/8/2015[new_line][new_line]
1505125;2015-12-08 05:13:00;PARKSIDE APARTMENTS I;SERVICE;to  12/8/15;[new_line][new_line]12/8/15[new_line][new_line]-[new_line][new_line] 5:13 am[new_line][new_line]Location:[new_line][new_line]PARKSIDE APARTMENTS I[new_line][new_line]Report #:[new_line][new_line]1505125[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]12/8/15[new_line][new_line] 3:00 am[new_line][new_line]12/8/15[new_line]-[new_line]SERVICE[new_line]A student was transported to a local hospital for medical treatment after complaining of abdominal pain.[new_line][new_line]Disposition: CLOSED[new_line][new_line]Illness Response[new_line][new_line]-[new_line][new_line] 5:00 am[new_line][new_line]cc: Student Affairs[new_line][new_line]
1505127;2015-12-08 09:49:00;CENTER FOR HEALTH PROFESSIONS;SERVICE;to  12/8/15;[new_line][new_line]12/8/15[new_line][new_line]-[new_line][new_line] 9:49 am[new_line][new_line]Location:[new_line][new_line]CENTER FOR HEALTH PROFESSIONS[new_line][new_line]Report #:[new_line][new_line]1505127[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]12/8/15[new_line][new_line] 9:49 am[new_line][new_line]12/8/15[new_line]-[new_line]SERVICE[new_line]A student was examined and released at the scene after fainting.[new_line][new_line]Illness Response[new_line][new_line]11:18 am[new_line][new_line]-[new_line][new_line]Disposition: CLOSED[new_line][new_line]cc: Student Affairs[new_line][new_line]
1505128;2015-12-08 10:47:00;RADISSON MIDCITY HOTEL;;;[new_line][new_line]12/8/15[new_line][new_line]-[new_line][new_line]10:47 am[new_line][new_line]Location:[new_line][new_line]RADISSON MIDCITY HOTEL[new_line][new_line]Report #:[new_line][new_line]1505128[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]
1505129;2015-12-08 11:00:00;OUTSIDE USC AREA;SERVICE;to  12/8/15;[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]12/8/15[new_line][new_line]11:00 am[new_line][new_line]12/5/15[new_line]-[new_line]SERVICE[new_line]A staff member was transported to SHC for medical treatment after her skin became irritated by an unknown cleaning [new_line]chemical that was on a towel she picked up.[new_line][new_line]Disposition: CLOSED[new_line][new_line]Injury Response[new_line][new_line]10:30 am[new_line][new_line]-[new_line][new_line]cc: Safety[new_line]-[new_line][new_line]12/8/15[new_line][new_line]11:22 am[new_line][new_line]Location:[new_line][new_line]OUTSIDE USC AREA[new_line][new_line]Report #:[new_line][new_line]1505129[new_line][new_line]-[new_line][new_line]to[new_line][new_line]12/7/15[new_line][new_line] 9:15 am[new_line][new_line]12/7/15[new_line]FRAUD[new_line]A student reported receiving a fraudulent check from a suspect for the purchase of a piano.[new_line][new_line]Fraud-General[new_line][new_line] 9:15 am[new_line][new_line]-[new_line][new_line]Disposition: Open[new_line][new_line]cc: Student Affairs[new_line][new_line]
1505130;2015-12-08 13:52:00;PARKING STRUCTURE A;PROPERTY;to;[new_line][new_line]12/8/15[new_line][new_line]-[new_line][new_line] 1:52 pm[new_line][new_line]Location:[new_line][new_line]PARKING STRUCTURE A[new_line][new_line]Report #:[new_line][new_line]1505130[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line] 9:30 am[new_line][new_line]12/7/15[new_line]PROPERTY[new_line]A student reported that the front bumper was damaged while his vehicle was parked at the location.[new_line][new_line]Damaged Property[new_line][new_line]Disposition: Open[new_line][new_line] 1:00 am[new_line][new_line]12/8/15[new_line][new_line]-[new_line][new_line]
1505131;2015-12-08 14:58:00;PERTUSATI UNIVERSITY BOOKSTORE;THEFT-PETTY;to  12/8/15;[new_line][new_line]12/8/15[new_line][new_line]-[new_line][new_line] 2:58 pm[new_line][new_line]Location:[new_line][new_line]PERTUSATI UNIVERSITY BOOKSTORE[new_line][new_line]Report #:[new_line][new_line]1505131[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]12/8/15[new_line][new_line] 2:35 pm[new_line][new_line]12/8/15[new_line]THEFT-PETTY[new_line]A student was arrested for removing clothing merchandise from the location without paying for it.[new_line][new_line]Theft Petty-Plain[new_line][new_line] 2:55 pm[new_line][new_line]Disposition: Open[new_line][new_line]-[new_line][new_line]cc: Student Affairs, Judicial Affairs[new_line][new_line]
1505132;2015-12-08 16:14:00;UNIVERSITY GATEWAY APARTMENTS;THEFT-PETTY;12/8/15  -  to;[new_line][new_line]12/8/15[new_line][new_line]-[new_line][new_line] 4:14 pm[new_line][new_line]Location:[new_line][new_line]UNIVERSITY GATEWAY APARTMENTS[new_line][new_line]Report #:[new_line][new_line]1505132[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]12/8/15[new_line][new_line]-[new_line][new_line]to[new_line][new_line] 9:00 pm[new_line][new_line]12/7/15[new_line]THEFT-PETTY[new_line]A suspect removed a bicycle.[new_line][new_line]-[new_line][new_line]12:10 am[new_line][new_line]Theft Petty-Plain[new_line][new_line]Disposition: Open[new_line][new_line]University of Southern California[new_line][new_line]Department of Public Safety[new_line][new_line]Daily Incident Log[new_line][new_line]From 12/8/2015 To 12/9/2015[new_line][new_line]
1505133;2015-12-08 16:40:00;OUR SAVIOR PARISH & USC CARUSO  CATHOLIC CENTER;TRESPASS;to  12/8/15;"[new_line][new_line]12/8/15[new_line][new_line]-[new_line][new_line] 4:40 pm[new_line][new_line]Location:[new_line][new_line]OUR SAVIOR PARISH & USC CARUSO [new_line]CATHOLIC CENTER[new_line][new_line]Report #:[new_line][new_line]1505133[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]12/8/15[new_line][new_line] 4:30 pm[new_line][new_line]12/8/15[new_line]TRESPASS[new_line]A habitual trespassing suspect was issued a ""stay away"" letter and advised not to return to the location or she would be [new_line]arrested.[new_line][new_line]Disposition: CLOSED[new_line][new_line]Trespassing[new_line][new_line] 4:39 pm[new_line][new_line]-[new_line][new_line]"
1505134;2015-12-08 20:41:00;KECK HOSPITAL OF USC;;;[new_line][new_line]12/8/15[new_line][new_line]-[new_line][new_line]-[new_line][new_line] 8:41 pm[new_line][new_line]Location:[new_line][new_line]KECK HOSPITAL OF USC[new_line][new_line]Report #:[new_line][new_line]1505134[new_line][new_line]to[new_line][new_line]-[new_line][new_line]Disposition: Open[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]
